nruns,size,iterations,NPs,time-mean,time-error,compute_time-mean,compute_time-error,update_time-mean,update_time-error
2,74,1000,4,0.147051,0.0020562665196904757,0.071138,0.00015839191898577823,0.075659,0.001887975105768086
2,88,1000,4,0.16554750000000001,0.0010712667734976312,0.080935,0.0011935962466428985,0.0843585,0.00012940054095714003
2,100,1000,4,0.17742950000000002,0.0008195367593952039,0.0901245,0.00048436814511278864,0.087049,0.00032951176003292705
2,120,1000,4,0.2080775,0.0010514677836244075,0.10750950000000001,0.0010542962107491468,0.1003125,7.071067811872547e-07
2,140,1000,4,0.258122,0.0009333809511662341,0.1303565,0.0006286179284748414,0.12751099999999999,0.00030829855659734865
2,160,1000,4,0.2996085,0.00035001785668735744,0.1547875,9.121677477305772e-05,0.1445655,0.00026375082938257123
2,190,1000,4,0.3821415,0.00024678026663409674,0.19401800000000002,0.0015938186847944825,0.18785849999999998,0.0018151431073058773
2,220,1000,4,0.4851035,0.0008676200205159176,0.250443,0.004572152447152216,0.234401,0.0037123106012293583
2,260,1000,4,0.7045195,0.000699328606593508,0.389566,4.384062043357054e-05,0.314683,0.0006477098115668972
2,310,1000,4,0.9929015,0.002752766699159176,0.5359195,0.00045608387386532784,0.45671,0.0022768838354206835
2,370,1000,4,1.6345239999999999,0.003231477990022496,0.887783,0.004212942202309463,0.7464845,0.007440884658426082
2,400,1000,4,2.0044839999999997,0.0016419019459151176,1.1393415,0.00019304015126390465,0.8648855,0.001448861794651213
